"","name","city","postalCode","address","url","longitude","latitude"
"6062","Musik- und Kongreßhalle Saal 2","Lübeck",23554,"Willy-Brandt-Allee 10","https://www.ticketmaster.de/venue/musik-und-kongresshalle-saal-2-lubeck-tickets/lubkongres/701",10.67765,53.86927
"6063","Musik- und Kongreßhalle","Lübeck",23554,"MUK l Willy-Brandt-Allee 10","https://www.ticketmaster.de/venue/musik-und-kongresshalle-lubeck-tickets/lubkongrek/701",10.67809,53.8694
"6064","Strandsalon","Lübeck",23554,"Willy-Brandt-Allee 25a","https://www.ticketmaster.de/venue/strandsalon-lubeck-tickets/lubstrands/701",10.67805,53.86781
"6065","St. Aegidien","Lübeck",23552,"Aegidienstraße 75","https://www.ticketmaster.de/venue/st-aegidien-lubeck-tickets/lubstaegid/701",10.68921,53.86401
"6066","Holzland H. Wulf","Ahrensburg",22926,"Bahnhofstraße 19","https://www.ticketmaster.de/venue/holzland-h-wulf-ahrensburg-tickets/ahrholzlan/701",10.23586,53.66963
"6067","TIF Theater im Forum Schenefeld","Schenefeld",22869,"Achter de Weiden 34","https://www.ticketmaster.de/venue/tif-theater-im-forum-schenefeld-schenefeld-tickets/scetifthea/701",9.83128,53.60626
"6068","Alfred Rust Schule (Festsaal)","Ahrensburg",22926,"Wulfsdorfer Weg 71","https://www.ticketmaster.de/venue/alfred-rust-schule-festsaal--ahrensburg-tickets/ahralfredr/701",10.22326,53.67294
"6069","Mondial Club @ Indra","Hamburg",22767,"Große Freiheit 64","https://www.ticketmaster.de/venue/mondial-club--indra-hamburg-tickets/hammondind/701",9.95815,53.55201
"6070","MONDIAL LUFTSCHLOSS @ Grosse Fre","Hamburg",22767,"Große Freiheit 36","https://www.ticketmaster.de/venue/mondial-luftschloss--grosse-fre-hamburg-tickets/hammondluf/701",9.95788,53.55119
"6071","Schloss","Tremsbüttel",22967,"Schloßstraße 10","https://www.ticketmaster.de/venue/schloss-tremsbuttel-tickets/trmschloss/701",10.3129,53.74379
"6072","Waldreitersaal","Großhansdorf",22927,"Barkholt 64","https://www.ticketmaster.de/venue/waldreitersaal-grosshansdorf-tickets/ghdwaldrei/701",10.28171,53.65323
"6073","Kunstschule","Lübeck",23552,"Kanalstraße 42-48","https://www.ticketmaster.de/venue/kunstschule-lubeck-tickets/lubkunstho/701",10.69444,53.87127
"6074","Zeise (Kino 3)","Hamburg",22765,"Friedensallee 7-9","https://www.ticketmaster.de/venue/zeise-kino-3--hamburg-tickets/hamzeiseki/701",9.92749,53.55438
"6075","Ballroom HH @ RnR Warehouse","Hamburg",22767,"Friedensallee 126A","https://www.ticketmaster.de/venue/ballroom-hh--rnr-warehouse-hamburg-tickets/hamballroo/701",9.91651,53.55762
"6076","Evangelische Johanneskirche","Norderstedt",22844,"Bahnhofstraße 77","https://www.ticketmaster.de/venue/evangelische-johanneskirche-norderstedt-tickets/ndsevangel/701",9.99165,53.73162
"6077","Waagenbau","Hamburg",22769,"Max-Brauer-Allee 204","https://www.ticketmaster.de/venue/waagenbau-hamburg-tickets/hamwaagenb/701",9.95575,53.56153
